indicator,weight
env_kaggle_score,0.25315596286485825
soc_kaggle_score,0.16973414737768544
governance_quality,0.010597199666806084
fin_return_on_equity,0.15194510982331036
fin_return_on_assets,0.03281188557854935
fin_profit_margin,0.02708854962412632
fin_revenue_growth,0.06276283705215426
fin_earnings_growth,0.037127105919717504
fin_debt_to_equity,0.002457868038608361
fin_current_ratio,0.04642321355520439
price_1y_return_pct,0.046109180038291016
fin_market_cap,0.13645173568477229
fin_beta,0.012594768845618921
price_30d_volatility_pct,0.010740435930297384
